Male,Female,Total_Beneficiaries,# of HHs,State,TS,TS_PCODE,Total_amount
0,0,0,0,,Einme,MMR017015,0
0,0,0,0,,Gangaw,MMR009023,0
0,0,0,0,,Gwa,MMR012017,0
0,0,0,0,,Gyobingauk,MMR008014,0
0,0,0,0,,Hinthada,MMR017008,0
0,0,0,0,,Hkamti,MMR005033,0
0,0,0,0,,Hlaing,MMR013040,0
0,0,0,0,,Hlaingbwe,MMR003002,0
0,0,0,0,,Hlaingtharya,MMR013008,0
0,0,0,0,,Hlegu,MMR013004,0
0,0,0,0,,Hmawbi,MMR013003,0
0,0,0,0,,Homalin,MMR005034,0
0,0,0,0,,Hopang,MMR015021,0
0,0,0,0,,Hopong,MMR014003,0
0,0,0,0,,Hpa-An,MMR003001,0
0,0,0,0,,Hpasawng,MMR002006,0
0,0,0,0,,Hsipaw,MMR015014,0
0,0,0,0,,Htantabin,MMR007014,0
0,0,0,0,,Htantabin,MMR013006,0
0,0,0,0,,Indaw,MMR005021,0
0,0,0,0,,Ingapu,MMR017013,0
0,0,0,0,,Injangyang,MMR001003,0
0,0,0,0,,Insein,MMR013001,0
0,0,0,0,,Kalaw,MMR014005,0
0,0,0,0,,Kalewa,MMR005028,0
0,0,0,0,,Kamaryut,MMR013041,0
0,0,0,0,,Kamma,MMR009015,0
0,0,0,0,,Kanbalu,MMR005007,0
0,0,0,0,,Kangyidaunt,MMR017002,0
0,0,0,0,,Kanpetlet,MMR004008,0
0,0,0,0,,Katha,MMR005020,0
0,0,0,0,,Kawa,MMR007003,0
0,0,0,0,,Kawhmu,MMR013028,0
0,0,0,0,,Kawthoung,MMR006009,0
0,0,0,0,,Kayan,MMR013026,0
0,0,0,0,,Kengtung,MMR016001,0
0,0,0,0,,Khaunglanhpu,MMR001018,0
0,0,0,0,,Khin-U,MMR005005,0
0,0,0,0,,Konkyan,MMR015023,0
0,0,0,0,,Kungyangon,MMR013029,0
0,0,0,0,,Kunhing,MMR014014,0
0,0,0,0,,Kunlong,MMR015020,0
0,0,0,0,,Kyaiklat,MMR017025,0
0,0,0,0,,Kyaikmaraw,MMR011002,0
0,0,0,0,,Kyaikto,MMR011009,0
0,0,0,0,,Kyainseikgyi,MMR003007,0
0,0,0,0,,Kyangin,MMR017012,0
0,0,0,0,,Kyaukpadaung,MMR010020,0
0,0,0,0,,Kyaukpyu,MMR012011,0
0,0,0,0,,Kyaukse,MMR010013,0
0,0,0,0,,Kyauktada,MMR013033,0
0,0,0,0,,Kyauktaga,MMR007006,0
0,0,0,0,,Kyauktan,MMR013024,0
0,0,0,0,,Kyeemyindaing,MMR013038,0
0,0,0,0,,Kyunhla,MMR005008,0
0,0,0,0,,Kyunsu,MMR006006,0
0,0,0,0,,Lahe,MMR005036,0
0,0,0,0,,Laihka,MMR014012,0
0,0,0,0,,Langkho,MMR014018,0
0,0,0,0,,Lanmadaw,MMR013035,0
0,0,0,0,,Latha,MMR013036,0
0,0,0,0,,Laukkaing,MMR015022,0
0,0,0,0,,Launglon,MMR006002,0
