COUNTRY,ISO3,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Natural,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Human,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Aid Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,DRR,Governance,Institutional,Communication,Physical infrastructure,Access to health care,Infrastructure,LACK OF COPING CAPACITY,INFORM RISK,Rank,Missing Indicators
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,1.3,0.1,7.6,5.3,0,3.6,0,0,0,2,3.5,x,5.4,4.1,0,0,1.6,10,2.6,5.5,3.2,3.7,x,4.6,4.6,2.7,1.1,5,2.9,3.8,3,113,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,7.2,4.7,5.3,7.9,1.1,5.7,3.7,0,2.6,4.3,2,6,0.3,2.6,0.8,1,1.7,0.1,3.6,1.7,1.3,2,4.6,6.3,5.5,3.3,3,4.6,3.6,4.6,3.4,100,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,9.4,6.8,9,0,2.9,6.8,2.7,0,1.9,4.8,1.9,5.5,0.3,2.4,6.1,0.5,1.6,3.6,3.3,2.3,4.5,3.5,3,6.4,4.7,3.1,4,4.2,3.8,4.3,4.2,69,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,EGY,6,8.1,6.8,0,3.7,5.5,9.7,7,7,6.3,2.2,4.5,1.1,2.5,6.2,0.3,1.7,0,2.2,1.1,4.1,3.3,4.2,6.5,5.4,4,3.3,3.3,3.5,4.5,4.5,59,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,SLV,8.7,3.4,8.2,3.8,3.4,6.1,8.2,7,7,6.6,4.4,5.2,0.6,3.7,8.3,0.6,1.4,4.3,3.5,2.6,6.2,5.1,5.2,5.6,5.4,3.3,2.9,4.1,3.4,4.5,5.3,37,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,0.1,2.8,0,0,3.7,1.5,6.4,0,4.5,3.1,5.6,x,0.1,3.8,0,6.2,4.2,0,1.7,3.4,1.9,2.9,x,8,8,4.9,7.2,6.7,6.3,7.2,4,80,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,2.7,5.3,0,0,8.3,4.1,6.1,0,4.3,4.2,8.6,x,0.5,5.9,2.1,1,6.1,0,7.9,4.6,3.5,4.8,x,8.2,8.2,7.9,9.1,5.5,7.5,7.9,5.4,32,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,0.1,3.6,0,0,0,0.9,0.1,0,0.1,0.5,1.4,2.1,0,1.2,1,1.5,0.2,0,1.6,0.9,1,1.1,x,3,3,0.9,0.1,2,1,2.1,1,186,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,5.5,6.6,0,0,6.3,4.3,9.4,0,6.6,5.6,9.2,4.7,3,6.5,8,3.4,5.1,5.3,7.1,5.4,6.9,6.7,2.9,6.3,4.6,8.7,8.6,7.8,8.4,6.9,6.4,15,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,3.2,0.1,7.5,3.3,2.6,3.8,1.1,0,0.8,2.4,3.4,5,3,3.7,0,0.7,1.5,10,2.7,5.6,3.3,3.5,0.1,5.7,2.9,5,3.4,4.9,4.4,3.7,3.1,108,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,0.1,0.1,0,0,0,0.1,0,0,0,0.1,1,0.8,0,0.7,3.8,0.1,0.2,0,1.2,0.4,2.3,1.5,2.2,1,1.6,1.3,0.6,0.8,0.9,1.3,0.6,189,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,3,6.5,5,0,2.9,3.8,2.1,0,1.5,2.7,1,1.6,0,0.9,6.3,0.2,0.3,0,0.8,0.3,3.9,2.5,2.9,2.6,2.8,2.2,0,1.1,1.1,2,2.4,139,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,1.7,4.7,0,0,2.1,1.9,7.1,0,5,3.6,2.5,5.6,1.3,3,1.4,7.2,2.7,0,3,3.7,2.6,2.8,6.7,6.5,6.6,3.4,5.9,7,5.4,6,3.9,83,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,GMB,0.1,3.3,3.6,0,3.3,2.2,1.5,0,1.1,1.7,6.7,7,4.8,6.3,3.8,4.6,4.5,0,2.8,3.2,3.5,5.1,3,6.7,4.9,6.7,4.2,7.1,6,5.5,3.6,95,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,7.8,5.7,0,0,5.4,4.5,4,0,2.8,3.7,1.6,4.5,3.7,2.9,8.4,0.8,0.6,0.2,2.7,1.1,5.9,4.6,4.7,4.4,4.6,2.3,1.1,2.6,2,3.4,3.9,83,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,2.7,6.1,0,0,0.5,2.2,0.1,0,0.1,1.2,0.5,0.9,0,0.5,6.4,0.1,0.3,0,0.8,0.3,4,2.4,2.7,1.7,2.2,1.8,0,0.2,0.7,1.5,1.6,170,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,GHA,0.1,5.2,4.2,0,1.1,2.4,3.7,0,2.6,2.5,4.1,5.9,1.7,4,3.5,3.9,3.6,0,1.9,2.5,3,3.5,3.4,5.4,4.4,5.4,6.7,6.2,6.1,5.3,3.6,95,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,5.9,3.2,8.3,0,2.9,4.7,4.1,0,2.9,3.9,1.3,2.5,0.8,1.5,4.5,0.1,0.4,0.2,1.5,0.6,2.8,2.2,2.3,4.8,3.6,2.2,0,0.9,1,2.4,2.7,126,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,0.4,0.1,0,1.5,0.5,0.5,0.1,0,0.1,0.3,3.1,x,3.1,3.1,0,0,0.9,0,2.6,0.9,0.5,1.9,4.7,5.2,5,3.7,0.3,3.1,2.4,3.8,1.3,179,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,9.7,5.5,7.5,4.6,3.6,6.9,6.9,0,4.8,6,5,7,0.7,4.4,7.2,0.7,2.6,2.3,4.7,2.7,5.4,4.9,5.5,6.8,6.2,4.8,4.5,6.4,5.2,5.7,5.5,31,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,0.1,5.6,3.8,0,0.8,2.4,6,0,4.2,3.4,8.3,2.2,3.9,5.7,3.1,5.1,5.4,0.1,5.6,4.4,3.8,4.8,5,7.5,6.3,8.5,7.4,9.3,8.4,7.5,5,45,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,0.1,3.8,4.3,0,2.7,2.4,3.1,0,2.2,2.3,9.2,6.4,4.1,7.2,3.9,7.4,5.5,0,5.3,5.1,4.5,6,7.8,8.2,8,7,7.3,8.4,7.6,7.8,4.8,54,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,0.1,4.9,3.9,0,5,3.1,0.6,0,0.4,1.8,2.7,6.9,4.5,4.2,0,2.5,2.5,10,3.1,6,3.6,3.9,x,6.3,6.3,4.5,4,5.2,4.6,5.5,3.4,100,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,HTI,5.7,4.4,6.1,7.1,4,5.6,7.4,0,5.2,5.4,5.9,8.5,6,6.6,5.5,2.6,4,10,8.8,7.6,6.7,6.7,6.7,8.7,7.7,7.6,6.1,8.3,7.3,7.5,6.5,14,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,6.6,5.5,7,4.3,5.1,5.8,5.6,0,3.9,4.9,3.5,6.8,2.2,4,7.2,0.5,1.6,3,3.3,2.2,5.2,4.6,5.2,6.8,6,4.5,4.1,4.3,4.3,5.2,4.9,50,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,3.8,7.5,0,0,4,3.6,2.5,0,1.8,2.7,1.9,2.1,0,1.5,2.4,0.2,0.5,0,2.5,0.9,1.7,1.6,1.4,4.4,2.9,1.7,0.1,1.6,1.1,2,2.1,145,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,5.1,0.1,0,0,0,1.3,0,0,0,0.7,0.8,0.9,0,0.6,1.4,0.1,0.2,0,1.3,0.4,0.9,0.8,x,2.1,2.1,1.6,2.6,0.9,1.7,1.9,1,186,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,7.9,8.5,8.3,7.6,6.9,7.9,9.5,0,6.7,7.3,5.3,4.9,0.1,3.9,6.3,1.3,6.7,10,4.4,6.9,6.6,5.4,1.8,5.8,3.8,5.6,5.2,5.9,5.6,4.8,5.7,26,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,8.4,8.2,9.6,6.4,3.6,7.8,9.4,0,6.6,7.2,2.3,4.6,0,2.3,1.8,3,3.3,0.2,3.7,2.7,2.3,2.3,3.3,5.7,4.5,3.5,5.3,6.4,5.1,4.8,4.3,66,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,IRN,10,6.6,6,2,7.1,7.2,7.5,0,5.3,6.3,2.8,5,0.1,2.7,8,0.2,1.1,0.2,2,0.9,5.5,4.2,4.4,6.6,5.5,3.8,3.7,3.7,3.7,4.7,5,45,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,IRQ,7,9.6,0,0,3.9,5.5,10,9,9,7.7,2.6,4.2,1.9,2.8,10,0.8,2.2,0.1,5.1,2.3,8,6,8.4,7.9,8.2,4.6,4.4,6.8,5.3,7,6.9,10,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,0.1,3.9,4.5,0,0.5,2,0,0,0,1,0.5,1.7,0,0.7,3,0.4,0.3,0,0.4,0.3,1.7,1.2,x,2.2,2.2,2.3,0.5,1.2,1.3,1.8,1.3,179,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,6.6,2.4,5.2,0,5.3,4.3,6.4,0,4.5,4.4,0.9,2.9,0,1.2,5,0.1,0.3,0,0.5,0.2,2.9,2.1,x,3.3,3.3,2.3,0,1,1.1,2.3,2.8,120,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,ITA,6.1,5.6,7.6,0,2.9,5,1.9,0,1.3,3.4,1.2,1.7,0,1,5.4,0.4,0.3,0,0.9,0.4,3.3,2.2,2.4,4.9,3.7,1.6,0,1,0.9,2.4,2.6,131,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
