COUNTRY,ISO3,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Natural,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Human,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Aid Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,DRR,Governance,Institutional,Communication,Physical infrastructure,Access to health care,Infrastructure,LACK OF COPING CAPACITY,INFORM RISK,Rank,Missing Indicators
Tanzania,TZA,4.7,5.9,5.2,0.9,5.2,4.6,7.6,0,5.3,5,6.5,5.3,2.8,5.3,6.3,6.7,3.4,0.2,7.8,5.2,5.8,5.6,3.5,6.7,5.1,7.3,9.2,6,7.5,6.5,5.7,26,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,THA,3.4,8.9,6.8,4.9,6.1,6.4,6.2,0,4.3,5.4,1.9,4.4,0.1,2.1,5.5,1.8,1.5,0.4,2.9,1.7,3.8,3,4.7,5.3,5,2.5,2.3,4,2.9,4,4,80,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The former Yugoslav Republic of Macedonia,MKD,6.6,4.4,0,0,4.5,3.6,2.5,0,1.8,2.7,1.7,3.5,2.5,2.4,1.3,0.3,0.4,2.6,2.8,1.6,1.5,2,3.8,5.3,4.6,2.1,1.9,3.1,2.4,3.6,2.7,126,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,TLS,5.7,1.9,5,3.7,0.3,3.6,0.3,0,0.2,2.1,5.8,1.6,6.2,4.9,0,5.2,7,10,6.6,7.8,5,5,6.3,7.3,6.8,7.6,6.8,7.1,7.2,7,4.2,69,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,TGO,0.1,4.4,0,0,2.7,1.6,3.2,0,2.2,1.9,5.9,6.6,2.1,5.1,4.5,4.3,4.8,0,4.2,3.5,4,4.6,9.2,7.2,8.2,7.5,8.3,7.1,7.6,7.9,4.1,74,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,TON,0.1,0.1,2.8,5.9,0.5,2.2,0.1,0,0.1,1.2,3.6,6.1,10,5.8,0,0.3,0.9,1.3,4,1.7,0.9,3.7,5.8,5.2,5.5,3.4,0.4,6.9,3.6,4.6,2.7,126,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,3.9,0.4,0,2.4,4,2.3,0.3,0,0.2,1.3,1.4,5,0,2,0.9,1.9,1.6,0,2.9,1.7,1.3,1.7,4.4,5.3,4.9,1.6,0.6,3.2,1.8,3.5,2,153,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,TUN,4.1,3.9,7.2,0,5.3,4.5,6.2,0,4.3,4.4,1.9,3,1.5,2.1,0.8,0.4,0.8,0,1.1,0.6,0.7,1.4,6.4,5.8,6.1,3.3,2.6,3.9,3.3,4.9,3.1,108,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,TUR,9.3,6.1,6.3,0,3.8,6,9.9,9,9,7.8,2.9,4.3,0.9,2.8,9.2,0.2,0.7,0,1.3,0.6,6.6,5,2.1,5,3.6,2.8,1.8,3.5,2.7,3.2,5,45,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,8.5,5.3,0,0,5,4.6,1.6,0,1.1,3,4,x,0.2,2.7,0,1.2,4,0,1.4,1.8,0.9,1.8,x,7.5,7.5,3.1,7.2,3.4,4.6,6.3,3.2,106,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,TUV,0.1,0.1,7.9,0.1,0.5,2.6,1.4,0,1,1.8,6,x,10,7.3,0,3.5,1.3,10,4,6.2,3.7,5.8,x,6.9,6.9,6.7,0.8,5.4,4.3,5.8,3.9,83,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,UGA,4.5,5.3,0,0,5.4,3.4,8.9,0,6.2,5,7.1,5.8,2.9,5.7,7.7,5.9,3.7,0,6.1,4.3,6.3,6,x,6.7,6.7,7.4,7,6.9,7.1,6.9,5.9,23,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,UKR,2.7,7.1,0,0,3.5,3.2,10,9,9,7,1.7,1.9,0.9,1.6,8.9,2.1,0.7,0,2.5,1.4,6.5,4.5,x,6.6,6.6,2.2,1.3,3.7,2.4,4.8,5.3,37,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,9.3,3.9,7.4,1.8,3.7,6,0,0,0,3.6,1.8,3.1,0,1.7,0.9,0,0.5,0,1.2,0.4,0.7,1.2,2.1,2.5,2.3,0.8,1.9,1.8,1.5,1.9,2,153,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,0.1,4.8,3.7,0,0.5,2.1,3.4,0,2.4,2.3,0.7,2.2,0,0.9,5.4,0.4,0.3,0.1,0.8,0.4,3.3,2.2,2.1,1.9,2,1.6,0,1.2,0.9,1.5,2,153,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,USA,7.9,6.3,7.3,7.6,4.7,6.9,6.2,0,4.3,5.8,0.5,3.9,0,1.2,5.6,0.1,0.3,0,0.1,0.1,3.3,2.3,3,2.3,2.7,2.2,1,1.6,1.6,2.2,3.1,108,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,URY,0.1,3.9,0,0,1.9,1.3,0,0,0,0.7,2.4,4.2,0.4,2.4,0.9,1,0.9,0.7,2.2,1.2,1.1,1.8,4,3.3,3.7,1.6,2.4,1.5,1.8,2.8,1.5,174,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,UZB,9.9,6.3,0,0,6.7,6.1,7.2,0,5,5.6,2.3,2.6,0.3,1.9,0,1,2,0,1.9,1.3,0.7,1.3,2.6,7.2,4.9,3.1,3.6,3.3,3.3,4.1,3.1,108,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,VUT,3.4,0.1,7.7,4.6,2.7,4.2,0,0,0,2.3,3.9,3,9,5,0,0.7,2.3,10,1.5,5.5,3.2,4.2,5.4,6.1,5.8,6.5,5,7.6,6.4,6.1,3.9,83,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,VEN,8.7,5.5,6.2,4.6,1.9,5.9,8.3,0,5.8,5.9,2.9,5.9,0,2.9,6.2,0.6,0.9,0.1,2.4,1,4.1,3.5,2.5,7.9,5.2,2.7,3.8,3.6,3.4,4.4,4.5,59,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,VNM,3.2,10,6.8,7.9,3.5,7.2,4,0,2.8,5.4,2.5,3.8,1.5,2.6,0,1.2,2.2,1,2.8,1.8,0.9,1.8,4.2,6,5.1,2.4,3.5,4.2,3.4,4.3,3.5,98,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,YEM,0.1,5,6.1,0,5,3.7,10,10,10,8.2,5.4,6.3,3.2,5.1,9.9,0.6,6.1,0.3,6.8,4.1,8.2,6.9,8.5,8,8.3,6.4,8,7.4,7.3,7.8,7.6,6,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,ZMB,1.5,5.4,0,0,3.9,2.4,2.5,0,1.8,2.1,5.2,7.8,2.5,5.2,4.2,8,4.1,0,8.7,6.2,5.3,5.3,3.5,6.1,4.8,7.4,7.6,6.3,7.1,6.1,4.1,74,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,ZWE,0.1,6.1,0,0.4,9.4,4.7,5.9,0,4.1,4.4,4.7,6.7,2.9,4.8,2.7,5.5,4,4.8,8.2,5.9,4.5,4.7,2.6,7.7,5.2,5.9,6.8,6.6,6.4,5.8,4.9,50,3
